# favorite of tweet,# followers,# following,# of hastags,# of mentions,account creation date,in reply to,location,name,number of account tweets,phrase,race,screen name,time,tweet,user id,classification,compound score,Racist (Y/N),State Abbreviation,Valid City Data (Y/N)
0,768,349,0,0,Fri May 29 02:36:11 +0000 2009,,Chicago,HoffPost,10313,spook,black,_hoffman,Sun Sep 17 17:00:45 +0000 2017,Shhhhhh. Nobody move; he's so close to getting it. Don't want to spook him. https://t.co/QWj1daCXE0,43253569,Hate speech,-0.0572,N,IL,Y
5,1152,2450,0,0,Fri Jun 20 08:56:56 +0000 2008,,USA,Heath Miller,7918,spook,black,veryheathmiller,Sun Sep 17 16:23:15 +0000 2017,I mean I spent years working alone at night in many many different 'creepy' locations as an actor and tour guide. I do not spook usually.,15178056,Hate speech,-0.25,N,,N
2,145,325,0,1,Mon Nov 21 03:24:15 +0000 2016,2772025208,TEXAS,Marcus Classic,60655,spook,black,Daisoubro,Sun Sep 17 16:13:36 +0000 2017,@Dudewithnoid Don't spook me Kirei,8.01E+17,Hate speech,0,N,TX,Y
1,308,167,0,2,Sat Mar 26 03:06:44 +0000 2016,7.24E+17,"Chicago, IL, USA",Lord Valkyre,4302,spook,black,Uu_VALKYRE_uU,Sun Sep 17 14:55:19 +0000 2017,"@InaneDragon @StaggersonJagz With skeletons &amp; pumpkins, in fall...
It's the spook...spookiest season of ALL!!",7.14E+17,Hate speech,0,N,IL,Y
1,135,288,3,0,Wed Aug 29 23:21:46 +0000 2012,,Buffalo,Timeless Babez,492,spook,black,TimelessBabez,Sun Sep 17 13:59:20 +0000 2017,#Pumpkin earrings. https://t.co/NWt7QYviFp #HalloweenTime #spook https://t.co/SlIaieS5jZ,790348686,Hate speech,0,N,NY,Y
0,329,308,0,0,Sun Mar 27 16:34:42 +0000 2016,,"Covington, GA",S. Barclay (?),1658,spook,black,VASHTI_BBY,Sun Sep 17 13:09:15 +0000 2017,Idc. It's already officially Halloween in my heart. Get your damn spook on! https://t.co/dwKNvpXQUh,7.14E+17,Hate speech,-0.4574,N,GA,Y
1,15114,1661,0,1,Tue Mar 10 18:54:36 +0000 2009,,"Miami, FL",SFBJ Newsroom,26152,spook,black,SFBJNews,Sun Sep 17 13:00:04 +0000 2017,Irma's aftermath could spook waterfront property buyers https://t.co/q9b2Qbq2F3 by @SFBJRealEstate ? https://t.co/f5fnleiXg5,23632864,Hate speech,0,N,FL,Y
0,417,425,0,0,Mon Dec 29 02:26:06 +0000 2014,2948283660,US,Ame,25160,spook,black,reaiame,Sun Sep 17 10:53:30 +0000 2017,How to spook me out: playing Grande Order bgm as the theme fight,2948283660,Hate speech,-0.2023,N,,N
0,582,806,0,2,Tue Dec 27 13:59:41 +0000 2016,35873656,Sweden,Progressive Redneck,10639,spook,black,hambonejones84,Sun Sep 17 08:10:25 +0000 2017,@WastedTimes @FoxNews Cloud spook nonsense,8.14E+17,Hate speech,-0.4019,N,,N
0,467,1462,0,0,Sat May 16 05:35:37 +0000 2015,3196945104,"Utah, USA",lil bat,39414,spook,black,RedSpaceJunk,Sun Sep 17 05:31:10 +0000 2017,But still tell me what I should be for the spook day,3196945104,Hate speech,0,N,UT,N
0,161,159,0,0,Sun Aug 04 23:38:41 +0000 2013,,"Florida, USA",ScaryWinkle ?,2515,spook,black,PeriwinkleDraws,Sun Sep 17 04:50:41 +0000 2017,"I unironically use the word ""spook"" a lot more than most humans, even when its not Halloween season.",1646408839,Hate speech,0,N,FL,Y
16,412,416,0,0,Wed Oct 15 02:41:51 +0000 2014,,skleep,marquee moon,3123,spook,black,gibbons_sierra,Sun Sep 17 04:32:12 +0000 2017,A spook??? https://t.co/DSdqkMFa4w,2830947087,Hate speech,0,N,,N
