City Name,County,Latitude,Longitude,State,State Abbreviation,Zip Code,new_lat,new_lng
Cathedral City,Riverside,33.8098,-116.4665,California,CA,92234,33.7805388,-116.4668036
Elko,Barnwell,33.3804,-81.3796,South Carolina,SC,29826,33.3804267,-81.3795504
Wakeeney,Trego,39.025,-99.8796,Kansas,KS,67672,39.02500819999999,-99.87956559999999
Saint Louis,St. Louis,38.6372,-90.3776,Missouri,MO,63124,38.6270025,-90.19940419999999
Snowshoe,Pocahontas,38.38800000000001,-79.9906,West Virginia,WV,26209,38.4132303,-79.9975177
Mcleod,Ransom,46.4103,-97.3139,North Dakota,ND,58057,46.39362329999999,-97.2991136
Fremont,Dodge,41.4416,-96.4945,Nebraska,NE,68025,41.4333909,-96.49814669999999
Scottsboro,Jackson,34.7507,-86.1422,Alabama,AL,35768,34.6723069,-86.03414629999999
Pinehurst,Shoshone,47.5018,-116.2647,Idaho,ID,83850,47.53880909999999,-116.2373903
New Derry,Westmoreland,40.3494,-79.3225,Pennsylvania,PA,15671,40.3506252,-79.3164247
Thomasville,Thomas,30.8385,-83.9696,Georgia,GA,31792,30.8365815,-83.9787808
Rossville,Walker,34.9535,-85.2968,Georgia,GA,30741,34.9831309,-85.2860676
Canton,Cherokee,34.234,-84.4904,Georgia,GA,30169,34.2367621,-84.4907621
Staten Island,Richmond,40.6324,-74.1171,New York,NY,10310,40.5795317,-74.1502007
Miami,Miami-Dade,25.8143,-80.2051,Florida,FL,33127,25.7616798,-80.1917902
Chino Hills,San Bernardino,33.9797,-117.7308,California,CA,91709,33.9898188,-117.7325848
Columbus,Franklin,40.0535,-83.0187,Ohio,OH,43214,39.9611755,-82.99879419999999
Huntly,Rappahannock,38.8129,-78.1165,Virginia,VA,22640,38.8265034,-78.1122208
Quincy,Norfolk,42.2491,-70.9978,Massachusetts,MA,02169,42.2528772,-71.0022705
Panama,Shelby,41.7288,-95.487,Iowa,IA,51562,41.7263768,-95.47222389999999
Sherman,Grayson,33.6372,-96.6184,Texas,TX,75092,33.6356618,-96.6088805
Inman,McPherson,38.2232,-97.7951,Kansas,KS,67546,38.2319537,-97.77338089999999
Petersburg,Huntingdon,40.603,-77.9984,Pennsylvania,PA,16669,40.5725693,-78.0469497
Vero Beach,Indian River,27.5885,-80.3923,Florida,FL,32962,27.6386434,-80.39727359999999
Skagway,Skagway-Hoonah-Angoon,59.4685,-135.3018,Alaska,AK,99840,59.45833329999999,-135.313889
Riddlesburg,Bedford,40.162,-78.2545,Pennsylvania,PA,16672,40.1618681,-78.2543788
Sound Beach,Suffolk,40.9567,-72.9742,New York,NY,11789,40.9562099,-72.9678811
Garrett Park,Montgomery,39.0365,-77.0931,Maryland,MD,20896,39.0381647,-77.0930339
Clinton,De Witt,40.1487,-88.9627,Illinois,IL,61727,40.1536479,-88.9645253
Brantingham,Lewis,43.6887,-75.2921,New York,NY,13312,43.6886801,-75.2921223
Roanoke,Roanoke (city),37.2717,-79.9392,Virginia,VA,24042,37.2709704,-79.9414266
Moores Hill,Dearborn,39.0945,-85.0638,Indiana,IN,47032,39.1133882,-85.0880122
Hansen,Twin Falls,42.5249,-114.2994,Idaho,ID,83334,42.5296532,-114.301121
Idleyld Park,Douglas,43.3237,-123.024,Oregon,OR,97447,43.3237296,-123.0239511
Aberdeen,Butler,37.2539,-86.6817,Kentucky,KY,42201,37.2539361,-86.6816547
Albany,Albany,42.6526,-73.7562,New York,NY,12236,42.6525793,-73.7562317
Brocton,Edgar,39.6923,-87.9263,Illinois,IL,61917,39.7155902,-87.9325327
Farwell,Howard,41.2204,-98.6481,Nebraska,NE,68838,41.2155676,-98.62812989999999
Nederland,Boulder,39.9703,-105.4813,Colorado,CO,80466,39.9613759,-105.5108312
Wysox,Bradford,41.7826,-76.3834,Pennsylvania,PA,18854,41.7745194,-76.3993837
Alexandria,City of Alexandria,38.8044,-77.0467,Virginia,VA,22320,38.8048355,-77.0469214
Letts,Louisa,41.293,-91.204,Iowa,IA,52754,41.3300271,-91.23626379999999
Highlands,Monmouth,40.4037,-73.9915,New Jersey,NJ,07732,40.40372,-73.991527
Waynesfield,Auglaize,40.6072,-83.9585,Ohio,OH,45896,40.6006056,-83.9752202
Topeka,Shawnee,39.0154,-95.7469,Kansas,KS,66614,39.0558235,-95.68901849999999
Russian Mission,Kusilvak,61.7744,-161.3939,Alaska,AK,99657,61.785,-161.3202777
Eloy,Pinal,32.7509,-111.5833,Arizona,AZ,85131,32.7558962,-111.554844
Intercession City,Osceola,28.2774,-81.5069,Florida,FL,33848,28.2625124,-81.50785049999999
Meridian,Ada,43.6121,-116.3915,Idaho,ID,83680,43.6121087,-116.3915131
Fremont,Alameda,37.5176,-121.9287,California,CA,94539,37.5482697,-121.9885719
Albertson,Nassau,40.7703,-73.6514,New York,NY,11507,40.7734341,-73.6431844
Fredonia,Ozaukee,43.477,-87.9612,Wisconsin,WI,53021,43.4705552,-87.95064649999999
