,# favorite of tweet,# followers,# following,# of hastags,# of mentions,# retweets of tweet,account creation date,in reply to,location,name,number of account tweets,screen name,term,time,tweet,user id
1823,4,1236,407,0,"[{'screen_name': 'RushPubstomping', 'name': 'Rush Clan', 'id': 2240060262, 'id_str': '2240060262', 'indices': [0, 16]}, {'screen_name': 'ImAbstract___', 'name': 'ImAbstract', 'id': 739640751278034944, 'id_str': '739640751278034944', 'indices': [17, 31]}, {'screen_name': 'Pooncakez', 'name': 'Max', 'id': 3755026466, 'id_str': '3755026466', 'indices': [91, 101]}]",0,Sat Oct 20 14:31:48 +0000 2012,2240060262.0,Over 2.1K Subscribers,Sahsouh,7710,Sahsouh_,jigaboo,Thu Sep 14 18:33:54 +0000 2017,@RushPubstomping @ImAbstract___ So yo you jigaboo You gonna make an official tweet or what @Pooncakez,893356320
1824,0,6403,5675,0,"[{'screen_name': 'basqjr', 'name': 'Charles T Walker III', 'id': 383366281, 'id_str': '383366281', 'indices': [3, 10]}, {'screen_name': 'LiveLikeKris', 'name': 'Kris 💙', 'id': 484407977, 'id_str': '484407977', 'indices': [12, 25]}]",380,Tue Aug 04 21:12:09 +0000 2009,,☝✈☁,❤️Marsha Kayy✨,274487,ItalianJoya,jigaboo,Thu Sep 14 18:03:37 +0000 2017,RT @basqjr: @LiveLikeKris Did she say jigaboo too?? Oh yeah this one for the culture https://t.co/KmkKNljwRV,62929773
1825,0,1668,981,0,"[{'screen_name': 'basqjr', 'name': 'Charles T Walker III', 'id': 383366281, 'id_str': '383366281', 'indices': [3, 10]}, {'screen_name': 'LiveLikeKris', 'name': 'Kris 💙', 'id': 484407977, 'id_str': '484407977', 'indices': [12, 25]}]",380,Mon Jul 11 21:24:07 +0000 2011,,W/ Lucci ,Daijah 🖤,52934,_MeValeVerga,jigaboo,Thu Sep 14 17:59:38 +0000 2017,RT @basqjr: @LiveLikeKris Did she say jigaboo too?? Oh yeah this one for the culture https://t.co/KmkKNljwRV,333645799
1826,0,428,450,0,"[{'screen_name': 'basqjr', 'name': 'Charles T Walker III', 'id': 383366281, 'id_str': '383366281', 'indices': [3, 10]}, {'screen_name': 'LiveLikeKris', 'name': 'Kris 💙', 'id': 484407977, 'id_str': '484407977', 'indices': [12, 25]}]",380,Fri Jun 18 01:59:34 +0000 2010,,UCF '21,mѳchi,51761,Michi_ItUp,jigaboo,Thu Sep 14 17:40:43 +0000 2017,RT @basqjr: @LiveLikeKris Did she say jigaboo too?? Oh yeah this one for the culture https://t.co/KmkKNljwRV,156830081
1827,0,1398,1187,0,"[{'screen_name': 'basqjr', 'name': 'Charles T Walker III', 'id': 383366281, 'id_str': '383366281', 'indices': [3, 10]}, {'screen_name': 'LiveLikeKris', 'name': 'Kris 💙', 'id': 484407977, 'id_str': '484407977', 'indices': [12, 25]}]",380,Thu Oct 20 14:22:17 +0000 2011,,Nigeria- America,Arafat,71651,OEtuazim,jigaboo,Thu Sep 14 17:27:18 +0000 2017,RT @basqjr: @LiveLikeKris Did she say jigaboo too?? Oh yeah this one for the culture https://t.co/KmkKNljwRV,394712733
1828,0,205,203,0,"[{'screen_name': 'basqjr', 'name': 'Charles T Walker III', 'id': 383366281, 'id_str': '383366281', 'indices': [3, 10]}, {'screen_name': 'LiveLikeKris', 'name': 'Kris 💙', 'id': 484407977, 'id_str': '484407977', 'indices': [12, 25]}]",380,Fri Jun 27 03:55:22 +0000 2014,,,Alexander,14324,AJ4738,jigaboo,Thu Sep 14 17:25:18 +0000 2017,RT @basqjr: @LiveLikeKris Did she say jigaboo too?? Oh yeah this one for the culture https://t.co/KmkKNljwRV,2645859881
1829,0,317,263,0,"[{'screen_name': 'basqjr', 'name': 'Charles T Walker III', 'id': 383366281, 'id_str': '383366281', 'indices': [3, 10]}, {'screen_name': 'LiveLikeKris', 'name': 'Kris 💙', 'id': 484407977, 'id_str': '484407977', 'indices': [12, 25]}]",380,Mon Oct 15 18:55:17 +0000 2012,,,Dana Revis,13161,DanaRevis1,jigaboo,Thu Sep 14 17:22:35 +0000 2017,RT @basqjr: @LiveLikeKris Did she say jigaboo too?? Oh yeah this one for the culture https://t.co/KmkKNljwRV,882905978
1830,0,518,182,0,"[{'screen_name': 'basqjr', 'name': 'Charles T Walker III', 'id': 383366281, 'id_str': '383366281', 'indices': [3, 10]}, {'screen_name': 'LiveLikeKris', 'name': 'Kris 💙', 'id': 484407977, 'id_str': '484407977', 'indices': [12, 25]}]",380,Mon Jan 25 02:38:30 +0000 2016,,,tay,8010,taylorcallahann,jigaboo,Thu Sep 14 17:20:27 +0000 2017,RT @basqjr: @LiveLikeKris Did she say jigaboo too?? Oh yeah this one for the culture https://t.co/KmkKNljwRV,4810336993
1831,0,2722,4586,0,"[{'screen_name': 'basqjr', 'name': 'Charles T Walker III', 'id': 383366281, 'id_str': '383366281', 'indices': [3, 10]}, {'screen_name': 'LiveLikeKris', 'name': 'Kris 💙', 'id': 484407977, 'id_str': '484407977', 'indices': [12, 25]}]",380,Wed Jan 22 19:59:26 +0000 2014,,"NoWhere, EveryWhere.",👁,1943,HOLYGH05T,jigaboo,Thu Sep 14 17:19:43 +0000 2017,RT @basqjr: @LiveLikeKris Did she say jigaboo too?? Oh yeah this one for the culture https://t.co/KmkKNljwRV,2305389535
1832,0,916,669,0,"[{'screen_name': 'basqjr', 'name': 'Charles T Walker III', 'id': 383366281, 'id_str': '383366281', 'indices': [3, 10]}, {'screen_name': 'LiveLikeKris', 'name': 'Kris 💙', 'id': 484407977, 'id_str': '484407977', 'indices': [12, 25]}]",380,Sun Nov 23 04:34:12 +0000 2014,,Guanajuato,Meme Goddess Misa,69172,mizus_,jigaboo,Thu Sep 14 16:43:33 +0000 2017,RT @basqjr: @LiveLikeKris Did she say jigaboo too?? Oh yeah this one for the culture https://t.co/KmkKNljwRV,2907712728
