Unnamed: 0,# favorite of tweet,# followers,# following,# of hastags,# of mentions,# retweets of tweet,account creation date,in reply to,location,name,number of account tweets,phrase,race,screen name,time,tweet,user id,classification,compound score
5042,0.0,5932.0,6167.0,1.0,0.0,0.0,Thu Dec 31 04:18:34 +0000 2015,,USA,Ellis Dawn,37068.0,spade,black,ellisdawn671,Wed Sep 20 08:48:11 +0000 2017,kate spade new york ‘cedar street – lacey’ wallet available at #Nordstrom https://t.co/WerEaHJ574 https://t.co/2DBWD0LF1R,4681345508.0,Hate speech,0.0
5044,0.0,711.0,354.0,0.0,2.0,0.0,Tue Jul 06 21:39:41 +0000 2010,1616334505.0,New york ,Black Bart Simpson,46958.0,spade,black,BlvcBartSimpson,Wed Sep 20 07:30:08 +0000 2017,@ECRenaissance @thejasminebrand Let's call a spade a spade ...this nigga Kevin hart dead ass has no heart ....na fu… https://t.co/7jisswpobL,163614583.0,Hate speech,-0.875
5045,1.0,854.0,1887.0,1.0,0.0,0.0,Tue Mar 27 05:13:15 +0000 2012,,"Greece, NY",Joey,15481.0,spade,black,EeinsLov,Wed Sep 20 06:38:10 +0000 2017,"https://t.co/gHilNYSi1X #obama ""yo mama..sucka.."" mr spade..no more spoilers..",537867757.0,Hate speech,0.0
5046,9.0,57.0,95.0,1.0,2.0,3.0,Wed Aug 02 17:08:53 +0000 2017,,"Long Beach, CA",malia fernandes,54.0,spade,black,LiaaFernn,Wed Sep 20 06:07:32 +0000 2017,Aaron the dawg and his uncles go too viral 💚🤘🏻 #thankful @LBFern @gq_spade @dabboimarcus https://t.co/P4VgGNHaMp,8.927943421877453e+17,Hate speech,0.0
5047,0.0,25.0,24.0,5.0,0.0,0.0,Sun Jun 04 15:54:19 +0000 2017,,"Texas, USA",Maria Clausing,573.0,spade,black,mariaclausing,Wed Sep 20 05:44:32 +0000 2017,New • KateSpade Stacy • Large #katespadestacy  #katespadestacypink #katespadestacywallet #katespadewallet #dompe… https://t.co/whCbE4agd5,8.713946943112315e+17,Hate speech,0.0
5049,3.0,928.0,663.0,0.0,0.0,0.0,Mon Jul 08 18:42:37 +0000 2013,,"Charleston, SC",GK,13412.0,spade,black,gretchenkalar,Wed Sep 20 04:26:24 +0000 2017,A spade is a spade,1578366739.0,Hate speech,0.0
5050,0.0,1715.0,2104.0,0.0,1.0,0.0,Sat Jun 18 12:09:37 +0000 2011,2504452635.0,Canada,King of Zeroes ⑨,43487.0,spade,black,KevinDahmer,Wed Sep 20 04:22:18 +0000 2017,"@AlyssaMastro44 A spade is a spade and a cunt is a cunt.

Bite me.",319603324.0,Hate speech,-0.7506
5057,0.0,110.0,281.0,0.0,0.0,0.0,Fri Aug 13 19:54:18 +0000 2010,,"Cleveland, Ohio",Matt Korte,2433.0,spade,black,BgMAK1013,Wed Sep 20 03:02:29 +0000 2017,Calling a spade a spade. Absolute crock of shit what is being cooked up. https://t.co/2FOnzDMS5J,178067768.0,Hate speech,-0.5574
5060,50.0,110.0,398.0,0.0,2.0,9.0,Sat May 23 03:11:33 +0000 2015,26053643.0,"Burlington, VT",anne cunningham,5561.0,spade,black,queencityac,Wed Sep 20 02:37:00 +0000 2017,"@jimmykimmel @BillCassidy Good for you, Jimmy. A lot of our new reality is about calling a spade a spade. Bill Cassidy: liar.",3294820288.0,Hate speech,-0.1027
5067,1.0,1179.0,586.0,0.0,0.0,0.0,Sun Oct 16 16:27:30 +0000 2011,,"Houston, TX",Flo Eternal,66032.0,spade,black,1AmbitiousNigga,Wed Sep 20 02:10:02 +0000 2017,Call a spade a spade ♠️,392146909.0,Hate speech,0.0
5068,1.0,337.0,258.0,0.0,0.0,0.0,Wed Apr 08 03:07:34 +0000 2015,1382802235.0,"Long Beach, CA",davé❄️,4516.0,spade,black,LkilDave,Wed Sep 20 02:06:29 +0000 2017,@gq_spade You know I don’t EVA turn none down quit it,3146253159.0,Hate speech,0.0
5069,0.0,337.0,258.0,0.0,0.0,0.0,Wed Apr 08 03:07:34 +0000 2015,1382802235.0,"Long Beach, CA",davé❄️,4516.0,spade,black,LkilDave,Wed Sep 20 02:05:13 +0000 2017,@gq_spade I forgot you not all the way there 🤦🏾‍♂️,3146253159.0,Hate speech,0.0
5071,1.0,337.0,258.0,0.0,1.0,0.0,Wed Apr 08 03:07:34 +0000 2015,2902051813.0,"Long Beach, CA",davé❄️,4516.0,spade,black,LkilDave,Wed Sep 20 01:41:50 +0000 2017,@_sauceflair @gq_spade Smh yung,3146253159.0,Hate speech,-0.3182
5074,0.0,1071.0,332.0,0.0,0.0,0.0,Thu Dec 05 00:37:13 +0000 2013,,Florida ,Bird Leaf,136770.0,spade,black,ComplexCarbs,Wed Sep 20 00:50:47 +0000 2017,"i'm all about calling a spade a spade. 

but.. this aint that.",2230677678.0,Hate speech,0.0
5076,2.0,332.0,526.0,0.0,1.0,0.0,Tue Jun 09 03:23:33 +0000 2009,637207025.0,"Kirkland, WA",🔮status:blaspheming,54446.0,spade,black,airrouge,Wed Sep 20 00:41:57 +0000 2017,@yuribeef there might be a word for that but it'd be calling a spade a spade♠,45752282.0,Hate speech,0.0
5077,0.0,115.0,234.0,0.0,0.0,0.0,Thu Aug 28 02:52:24 +0000 2008,,"Washington, DC",Problematik,3798.0,spade,black,djproblematik,Wed Sep 20 00:38:21 +0000 2017,Call a spade a spade https://t.co/nlSUeaqeSa,16021658.0,Hate speech,0.0
5080,2.0,337.0,258.0,0.0,0.0,1.0,Wed Apr 08 03:07:34 +0000 2015,1382802235.0,"Long Beach, CA",davé❄️,4516.0,spade,black,LkilDave,Wed Sep 20 00:23:40 +0000 2017,@gq_spade That’s why I fw cuh 😂,3146253159.0,Hate speech,0.0
5084,0.0,151.0,878.0,0.0,1.0,0.0,Mon Oct 03 21:07:21 +0000 2011,49698134.0,The Jungle,John Rambo,3583.0,spade,black,JohnRambo7075,Tue Sep 19 23:40:48 +0000 2017,@JoyAnnReid call a spade a spade and he is calling out a crazy nkorea.  if la got hit with a missile you would be o… https://t.co/qcrBlfwnt3,384527441.0,Hate speech,-0.34
5086,0.0,1270.0,197.0,2.0,0.0,0.0,Tue Mar 17 03:47:02 +0000 2009,,"Dallas ,TX ",Theglamsquad,9926.0,spade,black,TheGlam_Squad,Tue Sep 19 23:16:54 +0000 2017,I refuse to apologize for calling a spade a spade....You'd think a st leaders wouldn't be sketchy.....#smh #lockYourdoors,24834601.0,Hate speech,-0.2023
5087,8.0,1510.0,65.0,2.0,0.0,1.0,Thu Mar 13 06:29:16 +0000 2014,,"Seattle, WA",Nellaiseemai,25071.0,spade,black,nellaiseemai,Tue Sep 19 23:08:44 +0000 2017,"#Ganesh
It's time to call spade a spade.
Don't blindly agree to whatever other contestants say to you.
#BiggBossTamil",2386463396.0,Hate speech,-0.2755
5090,0.0,2154.0,2157.0,0.0,1.0,0.0,Tue May 31 13:41:56 +0000 2011,16302242.0,"Washington, DC",PFSBLVD,28245.0,spade,black,PrettyFlySoc,Tue Sep 19 22:35:54 +0000 2017,@stephenasmith sorry but you seem compromised. So you can't call a spade a spade cuz a KD mom came at you? Smh. KD did some sucker ish...,308475691.0,Hate speech,-0.8271
5091,0.0,5.0,19.0,0.0,1.0,0.0,Tue Nov 26 06:47:04 +0000 2013,476256944.0,"Fontana, CA",George Fernandez,77.0,spade,black,Georg_Fernandez,Tue Sep 19 22:20:15 +0000 2017,@SenFeinstein Disappointed at POTUS UN speech?Im disappointed at you &amp; your party denying whats obvious. At last some1 calls a spade a spade,2215244784.0,Hate speech,-0.7096
5092,2.0,1094.0,2139.0,1.0,0.0,0.0,Sun Jun 28 22:27:26 +0000 2009,,Los Angeles CA,Coach Moore,22399.0,spade,black,CoachDamonMoore,Tue Sep 19 22:11:30 +0000 2017,"Shout out to Will Cain for calling a spade a spade w/ that debacle of a Kyrie Irving ESPN First Take interview!
#GoCavs",51865723.0,Hate speech,0.0
5093,0.0,894.0,551.0,0.0,0.0,0.0,Sat Dec 18 04:41:01 +0000 2010,,IN MY OWN LANE...,Darius...,58440.0,spade,black,tripledblessed1,Tue Sep 19 22:07:04 +0000 2017,Ah spade is ah spade...♠️,227907702.0,Hate speech,0.0
5094,1.0,292.0,272.0,0.0,0.0,0.0,Thu Apr 24 01:52:59 +0000 2014,,"Weatherford, TX, United States",Blaise White,4139.0,spade,black,white_blaise,Tue Sep 19 22:05:44 +0000 2017,Don't call it a spade if it's not a spade,2460613940.0,Hate speech,0.0
