,Unnamed: 0,# favorite of tweet,# followers,# following,# of hastags,# of mentions,# retweets of tweet,account creation date,in reply to,location,name,number of account tweets,phrase,race,screen name,time,tweet,user id,Sentiment Score,Postive Score,Negative Score,Neutral Score,Positive Score
1013,1137,0.0,792.0,788.0,0.0,0.0,0.0,Sun Mar 15 23:39:09 +0000 2009,,United States,❣Ciara,41718.0,i hate black,black,CiaraAmore,Sun Sep 24 15:48:07 +0000 2017,I hate to say it because Bozoma Saint John is the shit.  But Uber really just needed a black female exec on board Because of their rep.,24609373.0,0.0772,,0.121,0.749,0.13
1014,1138,0.0,26.0,114.0,0.0,1.0,0.0,Sat Nov 19 02:06:27 +0000 2016,90552683.0,"Cartersville, GA",Denise Maney,306.0,i hate black,black,Denise_maney,Sun Sep 24 15:45:10 +0000 2017,"@RobSchneider You're right. I'm a white female &amp; deal w/black people everyday, whether friends or acquaintances. No tension. No hate.",7.997959440741868e+17,-0.743,,0.378,0.509,0.113
1015,1139,0.0,1607.0,3756.0,0.0,0.0,0.0,Sun May 01 07:23:40 +0000 2011,,19143,Februarys own ♒,58549.0,i hate black,black,Southphillyzeem,Sun Sep 24 15:41:11 +0000 2017,I hate when black folk bring me out of character never white or any other race they to busy taking care of business,290959103.0,-0.128,,0.138,0.743,0.119
1016,1140,0.0,274.0,140.0,0.0,0.0,0.0,Sun Mar 15 15:43:12 +0000 2009,,"Austin, Texas",Alicia ✊🌹,33846.0,i hate black,black,aliciaaaaah,Sun Sep 24 15:35:36 +0000 2017,I would put them close to same actually. Made it clear he's OK to wipe out an entire ppl. His hate for black dissen… https://t.co/5hhMVfT1Ox,24539209.0,0.2103,,0.122,0.695,0.183
1017,1141,2.0,426.0,514.0,0.0,1.0,0.0,Mon Nov 28 01:19:27 +0000 2016,21728303.0,"San Diego, CA",On The Case Man,10447.0,i hate black,black,OnTheCaseMan,Sun Sep 24 15:32:33 +0000 2017,"@keithboykin I support the right of all people to dignity, respect and basic human rights. Black Lives Matter. Reje… https://t.co/RibRSZjLRq",8.030456090788536e+17,0.8225,,0.0,0.61,0.39
1018,1142,4.0,1404.0,1402.0,0.0,2.0,0.0,Thu Feb 23 04:20:33 +0000 2012,9.000366409866035e+17,"Central Maine, USA",lyn,30306.0,i hate black,black,kevlynhall,Sun Sep 24 15:31:56 +0000 2017,"@polNewsInfinity @Dollfinish These black players think all whites are apologists like Dems, and they're wrong. I hate their racist asses.",500442132.0,-0.8519,,0.382,0.53,0.088
1019,1143,0.0,165.0,745.0,0.0,4.0,0.0,Fri Mar 28 22:46:39 +0000 2014,19426551.0,"Dallas, TX",Swolle GMB,726.0,i hate black,black,SwolleGMB,Sun Sep 24 15:18:17 +0000 2017,"@NFL @KingJames @CNN @Kaepernick7
This guy is the BIGGEST ""racist"" I've seen on SM &amp; hate--&gt; black athletes. So yea… https://t.co/EloNelqKG2",2416552644.0,0.0,,0.0,1.0,0.0
1020,1144,1.0,87.0,415.0,0.0,0.0,0.0,Mon Mar 01 03:57:35 +0000 2010,,East Tennessee,Gabe AG,5379.0,i hate black,black,elbrigaciagar,Sun Sep 24 15:13:36 +0000 2017,"Awesome, another reason to hate the Pens. But when their MVP slammed a black player's head into the ice, I guess I… https://t.co/WqNXWey4tp",118582116.0,0.1027,,0.138,0.709,0.153
1021,1145,0.0,741.0,490.0,0.0,0.0,0.0,Tue Jul 31 04:32:43 +0000 2012,,"California, USA",FREDO,160.0,i hate black,black,FredoSaravia,Sun Sep 24 15:11:56 +0000 2017,He could literally say I hate all black people y'all still would support him😒 https://t.co/g4BnbjBrE3,727563146.0,-0.25,,0.201,0.652,0.147
1022,1146,0.0,3958.0,667.0,0.0,0.0,0.0,Fri May 01 19:16:27 +0000 2009,,miami fl,Ran Adebayo,590867.0,i hate black,black,DrTruth247,Sun Sep 24 15:09:01 +0000 2017,I know they hate black ppl there I know that https://t.co/wsGQ47MR67,37016676.0,-0.5719,,0.316,0.684,0.0
