State,Total Population,State Abbr,black,jews,muslim,norm_black,norm_jewish,norm_muslim,total_count,total_norm,Normalized Population,P-Value
Ohio,11614373,OH,4.0,4.0,4.0,3.444008557328062e-05,3.444008557328062e-05,3.444008557328062e-05,12,0.00010332025671984188,0.0368334323772,0.00188977921794
Oklahoma,3923561,OK,4.0,2.0,3.0,0.00010194820470485868,5.097410235242934e-05,7.646115352864399e-05,9,0.000229383460585932,0.0124430495535,0.662305571197
Oregon,4093465,OR,1.0,3.0,2.0,2.442918163462983e-05,7.328754490388947e-05,4.885836326925966e-05,6,0.00014657508980777894,0.0129818773916,0.408914629639
Pennsylvania,12784227,PA,10.0,8.0,5.0,7.822138952945689e-05,6.257711162356551e-05,3.911069476472845e-05,23,0.00017990919591775081,0.0405434680546,0.668157950444
Rhode Island,1056426,RI,1.0,1.0,1.0,9.465878348317818e-05,9.465878348317818e-05,9.465878348317818e-05,3,0.0002839763504495346,0.00335031392849,0.591508792185
South Carolina,4961119,SC,4.0,5.0,3.0,8.062697145543172e-05,0.00010078371431928966,6.047022859157379e-05,12,0.00024188091436629523,0.0157335261406,0.511038290548
Tennessee,6651194,TN,3.0,4.0,4.0,4.510468345984194e-05,6.013957794645593e-05,6.013957794645593e-05,11,0.00016538383935275382,0.0210933732218,0.539355113285
Texas,27862596,TX,21.0,27.0,18.0,7.536986144435357e-05,9.690410757131171e-05,6.460273838087447e-05,66,0.00023687670739653974,0.0883625009822,0.160838602045
Utah,3051217,UT,3.0,1.0,0.0,9.832142387775108e-05,3.277380795925036e-05,0.0,4,0.00013109523183700144,0.00967652709602,0.322151049722
Vermont,624594,VT,2.0,1.0,0.0,0.00032020800712142606,0.00016010400356071303,0.0,3,0.00048031201068213914,0.00198081642997,0.305225703153
Virginia,8411808,VA,3.0,6.0,4.0,3.5664152106182165e-05,7.132830421236433e-05,4.755220280824289e-05,13,0.0001545446591267894,0.0266769253182,0.333575362398
Washington,7288000,WA,4.0,5.0,5.0,5.4884742041712396e-05,6.860592755214052e-05,6.860592755214052e-05,14,0.0001920965971459934,0.0231129183784,0.939542882882
West Virginia,1831102,WV,1.0,0.0,1.0,5.4611922219515885e-05,0.0,5.4611922219515885e-05,2,0.00010922384443903177,0.00580709537164,0.261250429933
Wisconsin,5778709,WI,2.0,1.0,0.0,3.460980644638793e-05,1.7304903223193967e-05,0.0,3,5.191470966958192e-05,0.0183264036017,1.53326162923e-06
Wyoming,585501,WY,0.0,0.0,1.0,0.0,0.0,0.00017079390129137267,1,0.00017079390129137267,0.001856838203,0.88271690255
