Unnamed: 0,# favorite of tweet,# followers,# following,# of hastags,# of mentions,# retweets of tweet,account creation date,in reply to,location,name,number of account tweets,phrase,race,screen name,time,tweet,user id
37,0,3,27,0,1,0,Tue Jul 11 06:36:54 +0000 2017,216299334.0,Usa,Timesplitta,79,nigger are,black,TimeSplatooners,Thu Sep 21 19:42:58 +0000 2017,@piersmorgan Nigga and nigger are two different words with different meanings.,884662764291198976
38,1,252,665,0,0,1,Tue Apr 14 01:37:28 +0000 2015,,"San Antonio,TX",priscilla🕯🏹 ♡,8879,nigger are,black,00cilla,Tue Sep 19 14:38:33 +0000 2017,"Nigga and nigger are the same thing. Nigga is not slang for homie, it was used to degrade and tear down people of color. Think about that.",3154221098
39,0,145,437,0,5,0,Wed Sep 30 22:16:49 +0000 2015,4284703220.0,America,🤠,759,nigger are,black,voodochill,Mon Sep 18 14:10:07 +0000 2017,@Siyrox @Infamous_Deity @Syrkatrii @KEEMSTAR @h3h3productions Haha nigger and what a nigger are the same thing dumb… https://t.co/wu9jSjVsre,3827868675
40,0,125,114,0,4,0,Sat Oct 22 11:28:56 +0000 2011,3193456998.0,Sweden,Greene,5462,nigger are,black,GreenMiscreant,Sun Sep 17 10:24:21 +0000 2017,@StarToasters @shaun_jen @matt_chesthairs @stillgray The rape jokes and this one time of yelling nigger are the onl… https://t.co/rFVBUYG6Oo,395867023
41,0,404,916,0,1,0,Sat Jan 10 02:29:55 +0000 2015,7.804743946278871e+17,"St Louis, MO",🦋®,22237,nigger are,black,kwnspl,Fri Sep 15 23:54:45 +0000 2017,@JosephMuin Nigga and nigger are completely different lol and how could he said he was grabbing his gun so the vict… https://t.co/C5Q75vEZon,2970742563
42,1,273,126,0,1,0,Sun Jul 02 09:19:30 +0000 2017,2972210721.0,"Pittsburgh, PA",Beep Beep Lettuce,3198,nigger are,black,ShadyAveeee,Fri Sep 15 23:45:57 +0000 2017,@RlGGY Tigger on the nigger are you retarded,881442193977860100
43,0,17,19,0,0,0,Thu Oct 13 16:45:01 +0000 2016,,"Boise, ID",susan meriam,49907,jews are,jews,MeriamSusan,Mon Sep 25 11:09:25 +0000 2017,the jews are undoutably a sin,786608691940208640
44,0,17,19,0,0,0,Thu Oct 13 16:45:01 +0000 2016,,"Boise, ID",susan meriam,49907,jews are,jews,MeriamSusan,Mon Sep 25 10:29:26 +0000 2017,the jews are undoutably not going to find their way to God,786608691940208640
45,0,17,19,0,0,0,Thu Oct 13 16:45:01 +0000 2016,,"Boise, ID",susan meriam,49907,jews are,jews,MeriamSusan,Mon Sep 25 10:19:25 +0000 2017,the jews are always a sin,786608691940208640
46,0,23,110,0,3,0,Sat Oct 25 17:05:56 +0000 2014,8.413542251961139e+17,Israel,Avner,3199,jews are,jews,avnerarik,Mon Sep 25 10:17:48 +0000 2017,@The_Real_JQP @_joemo @TaraMcCarthy_14 not all jews are zionist...not all whites likes whites =P,2877074690
47,0,17,19,0,0,0,Thu Oct 13 16:45:01 +0000 2016,,"Boise, ID",susan meriam,49907,jews are,jews,MeriamSusan,Mon Sep 25 07:59:25 +0000 2017,the jews are completely sinners,786608691940208640
48,0,43,99,0,2,0,Thu Jan 12 06:43:54 +0000 2017,9.121687406907064e+17,United States,Daniel,1290,jews are,jews,Daniel01580557,Mon Sep 25 07:01:57 +0000 2017,@Jew_For_Trump @HanksLetters Most jews are not even Ashekanazi. There exist Sephardi jews. And Mizrahi jews that ar… https://t.co/dgQSIiresW,819434713291034624
49,8,988,1006,0,0,2,Wed Jul 26 21:31:17 +0000 2017,,"Washington, DC",𝕾𝖙ü𝖗𝖒𝖊𝖗 𝕯𝕮,2716,jews are,jews,Stormer_DC,Mon Sep 25 05:25:40 +0000 2017,It's always a good day when the jews are worried about the goyim! https://t.co/dpQhytzUVJ,890323661445627904
50,0,17,19,0,0,0,Thu Oct 13 16:45:01 +0000 2016,,"Boise, ID",susan meriam,49907,jews are,jews,MeriamSusan,Mon Sep 25 04:29:25 +0000 2017,the jews are undoutably fake,786608691940208640
51,0,373,1941,0,2,0,Thu Mar 25 19:03:46 +0000 2010,8.418695026944492e+17,"West Springfield, MA",GUNNER G,2000,jews are,jews,Stone6889,Mon Sep 25 04:10:12 +0000 2017,@Here2Stay111 @Forbes i do want to see that and i think arabs are middle eastern and jews are kinda white. i only w… https://t.co/XErXLMpvBw,126398272
52,0,17,19,0,0,0,Thu Oct 13 16:45:01 +0000 2016,,"Boise, ID",susan meriam,49907,jews are,jews,MeriamSusan,Mon Sep 25 03:49:25 +0000 2017,jews are always ruining our economy,786608691940208640
53,0,17,19,0,0,0,Thu Oct 13 16:45:01 +0000 2016,,"Boise, ID",susan meriam,49907,jews are,jews,MeriamSusan,Mon Sep 25 03:39:25 +0000 2017,jews are completely not going to find their way to God,786608691940208640
54,0,611,601,0,1,0,Sat Feb 27 05:10:41 +0000 2016,20749410.0,United States,FancyNancy,29594,jews are,jews,littlenancy918,Mon Sep 25 03:29:18 +0000 2017,"@finkd 
You TRAITOROUS money grubbing bastard. And you wonder why jews are viewed as they are. Go sell out Israeli elections!",703447137736982529
55,1,546,340,0,1,0,Tue Jul 14 16:59:44 +0000 2015,7.264980338781962e+17,"Louisiana, USA",candace rickett,7791,jews are,jews,candacerickett,Mon Sep 25 02:15:03 +0000 2017,@ggavsim the jews are doing great https://t.co/kAo1HOckMc,3279838825
